drug_name	drugbank_code
dorzolamide	DB00869
oxaprozin	DB00991
tetracycline	DB00759
trimethoprim	DB00440
famotidine	DB00927
naloxone	DB01183
nadolol	DB01203
iohexol	DB01362
mefloquine	DB00358
sulfadimethoxine	DB06150
latamoxef	DB04570
levonorgestrel	DB00367
minaprine	DB00805
ampicillin	DB00415
rifampicin	DB01045
guanfacine	DB01018
sirolimus	DB00877
dopamine	DB00988
trihexyphenidyl	DB00376
nilutamide	DB00665
ethosuximide	DB00593
lincomycin	DB01627
pirenzepine	DB00670
haloperidol	DB00502
piretanide	DB02925
chlorpromazine	DB00477
oxymetazoline	DB00935
topiramate	DB00273
triamterene	DB00384
milrinone	DB00235
sulfaphenazole	DB06729
benzthiazide	DB00562
ouabain	DB01092
apomorphine	DB00714
memantine	DB01043
letrozole	DB01006
metrizamide	DB01578
etomidate	DB00292
glipizide	DB01067
tolazoline	DB00797
proguanil	DB01131
clotrimazole	DB00257
nimesulide	DB04743
amitriptyline	DB00321
methyldopa	DB00968
naringenin	DB03467
bambuterol	DB01408
imipenem	DB01598
brompheniramine	DB00835
domperidone	DB01184
amikacin	DB00479
pindolol	DB00960
piperacillin	DB00319
primidone	DB00794
troleandomycin	DB01361
sulpiride	DB00391
doxorubicin	DB00997
cefuroxime	DB01112
protriptyline	DB00344
lobeline	DB05137
ethionamide	DB00609
nystatin	DB00646
ketoprofen	DB01009
hexylcaine	DB00473
vancomycin	DB00512
ondansetron	DB00904
gliclazide	DB01120
isoetarine	DB00221
mesoridazine	DB00933
pergolide	DB01186
timolol	DB00373
prednisolone	DB00860
dipyridamole	DB00975
cinnarizine	DB00568
acebutolol	DB01193
benzocaine	DB01086
orphenadrine	DB01173
dydrogesterone	DB00378
dicloxacillin	DB00485
orciprenaline	DB00816
paroxetine	DB00715
suprofen	DB00870
dicoumarol	DB00266
tobramycin	DB00684
prednisone	DB00635
chlormezanone	DB01178
oxybutynin	DB01062
oxamniquine	DB01096
fluorometholone	DB00324
econazole	DB01127
ofloxacin	DB01165
carmustine	DB00262
berberine	DB04115
metronidazole	DB00916
genistein	DB01645
hydrochlorothiazide	DB00999
guanadrel	DB00226
scopolamine	DB00747
chloramphenicol	DB00446
nitrofurantoin	DB00698
troglitazone	DB00197
myricetin	DB02375
crotamiton	DB00265
tacrine	DB00382
sulfathiazole	DB06147
ramipril	DB00178
